Invoice_ID,Branch_ID,Product_ID,Customer_type,Gender,Quantity,Tax_5_percent,Total,sales_timestamp,Payment_type,COGS,Gross_margin_percentage,Gross_income,Rating
750-67-8428,1,1,Member,Female,7,26.1415,548.9715,2019-01-05 13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,2,2,Normal,Female,5,3.82,80.22,2019-03-08 10:29:00,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,1,3,Normal,Male,7,16.2155,340.5255,2019-03-03 13:23:00,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,1,4,Member,Male,8,23.288,489.048,2019-01-27 20:33:00,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,1,5,Normal,Male,7,30.2085,634.3785,2019-02-08 10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,2,6,Normal,Male,7,29.8865,627.6165,2019-03-25 18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,1,7,Member,Female,6,20.652,433.692,2019-02-25 14:36:00,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,2,8,Normal,Female,10,36.78,772.38,2019-02-24 11:38:00,Ewallet,735.6,4.761904762,36.78,8.0
665-32-9167,1,9,Member,Female,2,3.626,76.146,2019-01-10 17:15:00,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,3,10,Member,Female,3,8.226,172.746,2019-02-20 13:27:00,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,3,11,Member,Female,4,2.896,60.816,2019-02-06 18:07:00,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,3,12,Member,Male,4,5.102,107.142,2019-03-09 17:03:00,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,1,13,Normal,Female,5,11.7375,246.4875,2019-02-12 10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,1,14,Normal,Male,10,21.595,453.495,2019-02-07 16:48:00,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,1,15,Normal,Female,10,35.69,749.49,2019-03-29 19:21:00,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,3,16,Member,Female,6,28.116,590.436,2019-01-15 16:19:00,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,1,17,Member,Female,7,24.1255,506.6355,2019-03-11 11:03:00,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,1,18,Normal,Male,6,21.783,457.443,2019-01-01 10:39:00,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,1,19,Normal,Male,3,8.2005,172.2105,2019-01-21 18:00:00,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,3,20,Normal,Female,2,4.03,84.63,2019-03-11 15:30:00,Ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,2,21,Member,Male,5,21.51,451.71,2019-02-25 11:24:00,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,3,22,Normal,Male,3,13.197,277.137,2019-03-05 10:40:00,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,3,23,Normal,Male,2,3.32,69.72,2019-03-15 12:20:00,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,1,24,Normal,Male,5,8.64,181.44,2019-02-17 11:15:00,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,1,25,Member,Male,3,13.2945,279.1845,2019-03-02 17:36:00,Ewallet,265.89,4.761904762,13.2945,6.0
227-03-5010,1,26,Member,Female,8,21.036,441.756,2019-03-22 19:20:00,Credit card,420.72,4.761904762,21.036,8.5
649-29-6775,3,27,Normal,Male,1,1.676,35.196,2019-02-08 15:31:00,Cash,33.52,4.761904762,1.676,6.7
189-17-4241,1,28,Normal,Female,2,8.767,184.107,2019-03-10 12:17:00,Credit card,175.34,4.761904762,8.767,7.7
